ID,subsystem,version/API,current producer,current consumer,production dependency,test/fixture dependency,external/public exposure,replacement,migration path,classification,confidence,retirement condition
NCPE-01,EphemerisFormat / Simulation,NCPE v2; NcpeV2Codec; NcpeV2RuntimeHash; NcpeCelestialSystemLoader,EphemerisBuilder --synthetic / --self-test; V2Fixture(),Public neutral codec; internal byte-only runtime reconstruction; builder/format tests,"Current supported reconstruction capability; normal Solar uses SolAnalyticalDefinition, not NCPE files","In-memory v2 fixture, reconstruction hash, defensive-copy and corruption tests",Codec/neutral records/hash public in NovaCore.EphemerisFormat.dll; loader and enclosing Simulation types internal,Current authority,None for current contract,KEEP — ACTIVE CONTRACT,"High: code, callers and documented workflow agree",Only after a separately specified replacement preserves semantic identity and supported artifacts
NCPE-02,EphemerisFormat/EphemerisArtifact.cs,"NCPE v1 codec, manifest/status/input/body/interpolation types",Public EphemerisArtifactCodec.TryBuild; current test Fixture(); no CLI producer,EphemerisBuilder.Tests v1 block; public TryRead can consume external bytes,No installed NCPE file or normal runtime consumer; v2 loader explicitly rejects v1,"Canonical body ordering, binary round trip, digest mutation, duplicate-body checks",Public source and assembly API; docs promise legacy readability; no known external consumer found; no packaged publication proven,NCPE v2 plus explicit missing semantic inputs,Resolve public support first; move generic invariants to v2; retain rejection discriminator; do not invent missing body/time/source metadata,UNKNOWN — EXTERNAL CONTRACT NOT RESOLVED,High for repository absence of production usage; external support unresolved,Project Control ends or scopes legacy-read contract and accounts for externally distributed artifacts/DLLs; fixture migration validated
NCPE-03,EphemerisFormat/NcpeV2.cs; Simulation loader,UnsupportedV1Reconstruction version discriminator,40-byte negative test header,NcpeV2Codec.TryRead and loader status mapping,Fail-closed current runtime boundary,Version-one rejection test is independent of the v1 codec,Public NcpeV2Status member; internal loader status,Existing controlled rejection,Keep a minimal header-only negative fixture even if full v1 codec retires,KEEP — ACTIVE CONTRACT,High,"A deliberate error-contract change, not merely retirement of the v1 parser"
NCPE-04,EphemerisFormat/EphemerisArtifact.cs,EphemerisHash and NormalizedEphemerisSample,"v2 builder, neutral semantic records and offline NAIF sampling","v1/v2 serializers, NcpeV2RuntimeHash and offline tooling",Shared current deterministic identities and sample transport,Hash/reconstruction and source-adapter tests,Public types in same file as legacy-only types,"Same types, optionally extracted into a current shared file","Separate shared types before any legacy file deletion; preserve algorithm, bit patterns and operation order",KEEP — ACTIVE CONTRACT,High,Current v2/offline users must have an explicitly equivalent replacement
NCPE-05,tests/NovaCore.EphemerisBuilder.Tests/Program.cs,Fixture() / Body() v1 test representation,In-memory v1 test construction only,Current v1 codec test block,None,"Ordering invariance, round trip, corrupt digest, duplicate body; shared hash loop",Fixture helpers private; the codec they exercise is public,"V2Fixture() and builder self-test, with additional explicit ordering decision",Retain duplicate/corruption/round-trip checks; v2 preserves declared body/source order so do not silently translate v1 permutation-equality assertion,MIGRATE THEN RETIRE,High for invariant mapping; exact ordering contract needs decision,NCPE-02 resolved; migration preserves intended invariants without changing the frozen v2 hash contract
CUBE-01,PlanetaryProductionSurface.cs; production Pack; global generator,NCCUBE1 magic / schema 1,build_cube_surface_pack.py; earth-surface-v5 manifest,TerrainAssetCache verification; native production global Pack; physical preparation,"Required terrain-v5 global data: 126 records, 61,484,224 bytes",tiny-global schema 1; native record/digest/corruption verification,Public managed contract and documented generated artifact; native parser used by runtime,Current global authority,None; family suffix 1 is not obsolete local-format compatibility,KEEP — ACTIVE CONTRACT,"High: manifest, current bytes, generator and consumers verified",New global asset contract and validated migration; never delete because schema number is 1
CUBE-02,NCCUBE1 dataset identities,Terrain-v4 historical data versus terrain-v5 and tiny-global terrain 44,Current global generator accepts explicit --terrain-version; old generation-v4 object remains local,Generic verifier supports manifest-specific identities; production requires terrain-v5; fixture uses 44,Only current manifest-selected v5 object is production authority,Generic identity verification uses terrain 44 intentionally,Public generic format; historical bytes are not a new binary schema,Current v5 manifest plus generic identity fixture,Do not reinterpret terrainVersion as parser schema; old local objects are outside this ticket’s cleanup scope,KEEP — ACTIVE CONTRACT (generic format); historical-only old production authority,High,Any old-data retirement is a separate artifact decision; no separate v4 format reader was found
CUBE-03,PlanetaryLocalTerrain.cs; LocalTerrainPack.cpp,NCCUBE2 schema 2 / payload 1 / terrain-v4 lineage,No current generator branch emits payload 1; historical 11bccb2 did,tiny-local fixture and one old ignored 63-record pack; generic readers accept it,No production manifest; IsProductionLayout excludes it,"Tracked tiny-local is payload 1, not payload 2",Public managed decoder/API; broad backward-readability wording; no proven supported external payload-1 user,"Payload 2 for current non-regional workflow, or bounded schema-3 fixture for modern physical-data regression",Rebuild from source with current east-positive geography; migrate fixture and hashes; do not just relabel header,UNKNOWN — EXTERNAL CONTRACT NOT RESOLVED,High for historical lineage; supported external contract unresolved,Explicit payload-1 support sunset plus migrated invariant tests and geographic/parity verification
CUBE-04,tools/earth_data/build_local_terrain_pack.py; generic local readers,NCCUBE2 schema 2 / payload 2 / terrain-v5,Current non-regional --albedo/--elevation branch and --fixture branch,"Managed public local loader, generic verifier/native Pack; retained generated 63-record local object",No normal production manifest selects it; current NCSM1 residency rejects non-production layout,"Current generator’s fixture mode emits this tuple, but tracked tiny-local still uses payload 1",Current publicly available generator CLI and reader; backward-readable format documentation,Schema 3 R16/control if non-regional workflow is deliberately migrated,Define supported non-regional output contract; migrate producer and fixture together before removing schema-2 reader,KEEP — ACTIVE CONTRACT (current generator/reader workflow),High for active producer and reader; future support duration not established,"Generator no longer emits it, current artifacts migrated, public support decision made; current ticket removal gates are not met"
CUBE-05,Florida generator; LocalTerrainPack; regional residency,NCCUBE2 schema 3 / payload 3 / terrain-v5,build_local_terrain_pack.py --regional-elevation; earth-florida-m12 manifest,Managed R16/control oracle; native Pack; NCSM1 regional residency and physical preparation,"Required Florida: 859 L8-L11 records, 210,307,596 bytes; c45c6d94…",M12FloridaRegionalPhysicalSurface and current physical preparation tests,Public format types; documented required production artifact,Current regional authority,"None; retain R16 ranges, physical control and deterministic digests",KEEP — ACTIVE CONTRACT,"High: current file records, hash, manifest and consumers verified",Separate accepted physical-asset migration; P2S5H is protected
CUBE-06,TerrainAssetDistribution.cs,NovaCore.TerrainAsset/1; formatVersion 1/2/3,Tracked global/local and fixture manifests; AssetTool,"Manifest loader, verification, generator publication and runtime resolution",Current global and Florida authority,tiny-global and tiny-local manifest checks,Public managed manifest/tool API; repository-documented distribution contract,Current manifest identity contract,Any old-payload migration must change fixture manifest/hash coherently; manifest schema 1 is independent of pack family/schema,KEEP — ACTIVE CONTRACT,High,No retirement of shared manifest support based solely on old pack fields
CUBE-07,LocalTerrainPack.cpp; PlanetaryLocalTerrainTranscode; generator,Raw / PackBits storage; BC7/BC4/BC5; R16/R8,Both current local generator branches; encode_bc4 also generates BC5 normal components,"Current v3 parser/transcode, v2 parser and CPU physical oracle",Raw/PackBits and BC5 remain current; BC4 elevation-specific branch is legacy,Local transcode/digest/corruption and explicit BC4 error metrics,Public format/codec enum and helper methods,Current four-channel physical pack; preserve shared compression and BC5 encoder,Retire only BC4 elevation semantics after old-format contract resolution; keep shared BC4 block encoder used for normals,KEEP — ACTIVE CONTRACT (shared primitives),High,Separate legacy elevation consumers from shared normal/storage primitives; do not remove by codec-name search
