ID,subsystem/path,classification,current consumer,retention reason,replacement/current authority,action,confidence

RD-01,Root/build/deployment,A/E,Solution/project references govern 20 projects; CMake explicitly builds Vulkan and CSPICE. Triangle deploys configuration-specific DLL and an explicit 49-shader production set.,Build and deploy supported projects,Configuration-specific native and managed builds,A/E. Release mapping repaired. Keep explicit deployment rather than copying diagnostic shaders indiscriminately.,High for stated current responsibility/disposition; migration still required where specified

RD-02,Precision/frames/camera,A/C,"FP64 subtraction, exact time, typed positions, transform graphs/resolvers and camera projection serve runtime and frame fixtures; precision/reference-frame/camera suites pass.",Production precision and independent invariant oracles,"Typed precision, frame and camera contracts",A/C. Independent mathematical reference implementations are deliberate oracles.,High for stated current responsibility/disposition; migration still required where specified

RD-03,Unreferenced public helpers,I/N,`CameraMath` and `RelativePosition` have no explicit other-file references in this checkout. Their public assembly surface has no established external-consumer inventory.,External API support inventory missing,Current typed frame and camera paths; exact external replacement pending,"I/N. Confirm supported external API contract, then retire if unclaimed. Low-reference scan is insufficient by itself.",Current repository consumers verified; retirement conditional on named missing evidence

RD-04,Celestial authority,A/C/D,"Solar and NCPE v2 loader create immutable explicit catalogs; analytical/sampled evaluation, rotations and definition hashes serve Solar and deterministic tests.",Production celestial evaluation and deterministic catalogs,Explicit immutable catalogs and NCPE v2,A/C/D.,High for stated current responsibility/disposition; migration still required where specified

RD-05,Legacy celestial authoring,I,Internal legacy node constructors and compatibility `TryCreate` overloads synthesize catalogs for focused Simulation tests; production already supplies catalogs.,Temporary fixture migration boundary,Explicit catalog construction,I: MIGRATE THEN RETIRE. Move fixtures to explicit catalogs while proving hierarchy/error/ephemeris/hash invariants. Old adapter is not a supported production authority.,High for stated current responsibility/disposition; migration still required where specified

RD-06,Spacecraft/time,A/C for real contracts; G placeholder removed,"Player torque/SAS controls, warp and celestial examples consume integration, attitude and guidance. Empty `SimulationWorld` did nothing.",Current player simulation; empty placeholder removed,Typed simulation stores,A/C for real contracts; G placeholder removed.,High for stated current responsibility/disposition; migration still required where specified

RD-07,NCPE v2,D/C; runtime loader capability A,"Builder `--synthetic/--self-test`, byte-only runtime loader and sampled-system regressions; no installed/tracked `.ncpe` artifacts found. Solar uses authored compact DE440 model.","Current artifact production, loading and reproducibility",NCPE v2,D/C; runtime loader capability A. Fixtures generated in tests.,High for stated current responsibility/disposition; migration still required where specified

RD-08,NCPE v1,I/N,Separate public offline codec; only v1 tests call it. No supported current asset/producer found. Shared `EphemerisHash`/sample records are required by v2.,Documented public compatibility decision pending,NCPE v2 with shared hash/sample records retained,"I/N: public docs advertise legacy readability and external consumers are unknown. Decide compatibility, then remove codec/v1 types and migrate applicable corruption/determinism tests to v2. Tests alone are not a KEEP reason.",Current repository consumers verified; retirement conditional on named missing evidence

RD-09,Offline NAIF,D/C,"Pinned kernels/CSPICE, explicit shim, lunar pack generator and compact-Solar validation/fitting provide reproducibility. Runtime uses coefficients/NCLo pack.",Offline deterministic generation and verification,"Pinned NAIF inputs, shim and offline tools",D/C. Missing rebuildable shim rebuilt; adapter tests pass. Offline oracle is not obsolete because runtime must not call it.,High for stated current responsibility/disposition; migration still required where specified

RD-10,NCCUBE1 global,A/C/D,"Current terrain-v5 manifest: schema 1, 126 records, 61,484,224 bytes; native/managed readers, generator and tiny-global fixture.",Current global production assets,Terrain-v5 global schema 1,"A/C/D. “1” is the current global family, not stale local compatibility.",High for stated current responsibility/disposition; migration still required where specified

RD-11,NCCUBE2 schema 3,A/C/D,"Florida terrain 5, L8–L11, 859 records, 210,307,596 bytes; generator → manifest/cache → parser → NCSM1 dependencies/publication and R16/control oracle.",Current regional production assets,Florida schema 3 and native regional residency,A/C/D. Accepted format/assets/physical authority untouched.,High for stated current responsibility/disposition; migration still required where specified

RD-12,NCCUBE2 schema 2 / payload 1–2 / BC4 residual,I/N,Tiny-local schema-2 terrain-4 fixture; three old ignored packages at baseline; generator non-regional branch emits schema 2; backward readability is documented. No production manifest selects it.,Non-regional generator and external compatibility decision pending,Schema 3 after supported-workflow and fixture migration,"I/N: decide supported non-regional workflow/external readers; migrate fixture to schema 3 and preserve corruption/transcode checks, then retire old parser branches. BC4 primitive used to encode BC5 normals must remain.",Current repository consumers verified; retirement conditional on named missing evidence

RD-13,Local albedo/normal/control channels,A/D until a bounded schema migration separates unused presentation payload from shared physical/source/digest responsibilities,"Regional runtime needs R16 residual; generator, digests, manifest identities and managed physical-control classification still involve the multi-channel layout.","Shared source, physical control and asset identity",Current multi-channel schema until explicit migration,A/D until a bounded schema migration separates unused presentation payload from shared physical/source/digest responsibilities. No asset rewrite here.,High for stated current responsibility/disposition; migration still required where specified

RD-14,Topology families,A production; C/D/J proofs,"NCSM1 is sole production Earth owner. NCTOP/NCTOP2 serve explicit topology/GPU proof scenes, generators and differential tests.",Independent topology proof and generation consumers,NCSM1 production; separate NCTOP proof oracles,"A production; C/D/J proofs. Retain their named reproducibility purpose, not alternate Earth ownership.",High for stated current responsibility/disposition; migration still required where specified

RD-15,Earth/Solar/Florida,A/C,Six presets → EarthRoutePolicy/SampleOptions → Solar/New Earth → NCSM1. Global bootstrap and non-Earth presentation remain separate. Support/visibility/material-receiver paths are accepted.,Accepted six-route production ownership,NCSM1 with legitimate bootstrap and non-Earth presentation,"A/C. Generation-3 comparisons remain independent C physical oracles, never production ownership.",High for stated current responsibility/disposition; migration still required where specified

RD-16,Old local planner/cache/T3,"G/H, removed",Only their own tests exercised superseded policies; current regional authority and GPU tessellation supersede them.,None for superseded models,Native regional residency and accepted GPU tessellation,"G/H, removed.",High for stated current responsibility/disposition; migration still required where specified

RD-17,Interop/GPU helpers,A/C/J,"Managed ABI callers reach height-query, mesh preparation, GPU proofs and runtime. Layout checks and CPU/GPU parity are independent verification.",Current ABI and independent numerical verification,R16 upload and GPU parity; unused private decoders retired,"A/C/J. Remove unused private decoders, retain ABI and independent contexts.",High for stated current responsibility/disposition; migration still required where specified

